,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,firminopolis,-16.5819,-50.305,69.73,93,99,2.62,BR,1644204467
288,kaeo,-35.1,173.7833,77.32,96,99,6.44,NZ,1644204468
289,bilibino,68.0546,166.4372,-10.97,78,18,4.03,RU,1644204468
290,lazaro cardenas,17.9583,-102.2,75.24,68,11,6.08,MX,1644204468
291,san juan de flores,14.2667,-87.0333,67.68,92,99,2.89,HN,1644204469
292,torbay,47.6666,-52.7314,13.57,77,75,18.41,CA,1644204469
293,gaziantep,37.0594,37.3825,33.57,93,0,0.0,TR,1644204427
294,luderitz,-26.6481,15.1594,67.19,78,40,3.09,NA,1644204242
295,khasan,42.4308,130.6434,23.72,47,15,15.46,RU,1644204470
296,qandala,11.472,49.8728,72.46,63,6,4.61,SO,1644204470
297,tarakan,3.3,117.6333,79.38,76,99,2.89,ID,1644204209
298,camacha,33.0833,-16.3333,59.76,63,75,16.11,PT,1644204470
299,kununurra,-15.7667,128.7333,89.58,66,100,3.44,AU,1644204471
300,chikwawa,-16.0335,34.8009,70.56,98,42,1.12,MW,1644204471
301,fukue,32.6881,128.8419,46.76,53,75,5.75,JP,1644204471
302,natal,-5.795,-35.2094,80.82,78,20,6.91,BR,1644204472
303,gazanjyk,39.2446,55.5154,36.97,77,99,8.5,TM,1644204472
304,amuntai,-2.4177,115.2494,85.64,67,100,3.2,ID,1644204472
305,hami,42.8,93.45,27.0,33,67,7.27,CN,1644204473
306,faanui,-16.4833,-151.75,81.01,75,100,20.13,PF,1644204330
307,chapais,49.7834,-74.8492,4.78,95,100,5.53,CA,1644204473
308,kavieng,-2.5744,150.7967,83.66,71,55,2.68,PG,1644204473
309,carahue,-38.7,-73.1667,57.4,94,5,3.44,CL,1644204474
310,kempsey,-31.0833,152.8333,73.94,72,78,4.0,AU,1644204474
311,san cristobal,7.7669,-72.225,69.98,89,46,1.23,VE,1644204474
312,ishigaki,24.3448,124.1572,69.93,68,75,16.11,JP,1644204475
313,mehamn,71.0357,27.8492,18.45,83,90,13.51,NO,1644204475
314,oktyabrskiy,54.4815,53.471,11.68,97,100,3.36,RU,1644204407
315,warrnambool,-38.3833,142.4833,83.8,54,0,12.97,AU,1644204475
316,pychas,56.5033,52.4409,15.06,98,100,3.33,RU,1644204476
317,dimitrovgrad,54.2139,49.6184,19.45,98,92,3.24,RU,1644204476
318,miri,4.4148,114.0089,86.14,74,40,4.61,MY,1644204431
319,madinat sittah uktubar,29.8167,31.05,51.4,56,0,2.3,EG,1644204476
320,khatanga,71.9667,102.5,-17.07,98,99,9.6,RU,1644204430
321,antofagasta,-23.65,-70.4,65.48,76,28,1.43,CL,1644204477
322,zhigansk,66.7697,123.3711,-29.15,99,93,3.89,RU,1644204477
323,kathmandu,27.7167,85.3167,48.42,87,40,0.0,NP,1644204432
324,pevek,69.7008,170.3133,-23.37,98,27,0.92,RU,1644204478
325,zhangjiakou,40.81,114.8794,20.64,40,100,4.05,CN,1644204425
326,carutapera,-1.195,-46.02,75.67,94,100,4.45,BR,1644204538
327,sao jose da coroa grande,-8.8978,-35.1478,79.48,72,51,6.91,BR,1644204538
328,ko samui,9.5357,99.9357,87.71,66,20,5.75,TH,1644204539
329,moose factory,51.2585,-80.6094,-7.6,77,0,5.75,CA,1644204539
330,pemangkat,1.1667,108.9667,79.65,84,100,4.76,ID,1644204539
331,gat,31.61,34.7642,54.39,100,6,6.8,IL,1644204322
332,yanam,16.7333,82.2167,75.6,66,92,3.4,IN,1644204540
333,mahanoro,-19.9,48.8,75.11,87,100,5.79,MG,1644204540
334,lichuan,30.3,108.85,31.21,91,81,2.51,CN,1644204540
335,taltal,-25.4,-70.4833,67.33,75,2,4.27,CL,1644204541
336,nuevo progreso,23.1667,-97.95,61.59,60,54,2.71,MX,1644204541
337,cap-aux-meules,47.3821,-61.8597,14.02,73,100,4.61,CA,1644204541
338,estacion coahuila,32.1939,-115.0017,66.74,13,0,11.07,MX,1644204542
339,alice springs,-23.7,133.8833,87.35,23,0,5.75,AU,1644204310
340,uporovo,56.3109,66.2693,2.19,85,68,6.67,RU,1644204542
341,meulaboh,4.1363,96.1285,78.46,83,100,2.55,ID,1644204543
342,nishihara,26.1842,127.7558,67.66,56,75,12.66,JP,1644204490
343,camana,-16.6228,-72.7111,70.97,82,99,4.85,PE,1644204543
344,alcaniz,41.05,-0.1333,49.75,57,38,13.02,ES,1644204543
345,hofn,64.2539,-15.2082,31.5,76,100,17.96,IS,1644204544
346,cam ranh,11.9214,109.1591,84.16,65,20,11.5,VN,1644204544
347,muli,2.9167,73.5667,81.5,63,19,11.3,MV,1644204544
348,pochutla,15.7432,-96.4661,77.85,82,0,3.06,MX,1644204544
349,launceston,-41.45,147.1667,79.61,42,0,4.0,AU,1644204545
350,aykhal,66.0,111.5,-14.48,99,99,6.35,RU,1644204545
351,talara,-4.5772,-81.2719,71.67,83,53,10.92,PE,1644204545
352,tautira,-17.7333,-149.15,86.02,76,72,19.98,PF,1644204546
353,raga,8.4596,25.678,60.4,22,38,4.81,SS,1644204318
354,deputatskiy,69.3,139.9,-31.58,94,83,4.63,RU,1644204546
355,storsteinnes,69.2408,19.2344,26.6,89,100,5.39,NO,1644204547
356,wadi maliz,36.4681,8.5495,50.45,93,0,4.5,TN,1644204547
357,turayf,31.6725,38.6637,39.45,100,0,0.0,SA,1644204547
358,san rafael,-34.6177,-68.3301,68.43,36,0,7.65,AR,1644204548
359,ixtapa,20.7,-105.2,72.63,83,75,2.3,MX,1644204548
360,obo,5.3998,26.4869,64.11,22,83,4.9,CF,1644204548
361,new norfolk,-42.7826,147.0587,80.65,28,0,1.99,AU,1644204410
362,adrar,20.5022,-10.0711,63.27,11,2,9.82,MR,1644204413
363,oranjemund,-28.55,16.4333,66.07,75,6,3.06,NA,1644204549
364,port hedland,-20.3167,118.5667,82.45,83,40,5.75,AU,1644204549
365,progreso,21.2833,-89.6667,71.11,79,4,11.81,MX,1644204549
366,nara,34.6851,135.8049,46.96,45,99,7.52,JP,1644204550
367,tevaitoa,-16.7833,-151.5,80.82,75,81,20.33,PF,1644204550
368,yar-sale,66.8333,70.8333,-8.99,99,47,9.69,RU,1644204550
369,robertsport,6.7533,-11.3686,79.07,83,47,2.8,LR,1644204551
370,dongsheng,39.8161,109.9776,19.38,28,98,3.56,CN,1644204551
371,kilemary,56.7783,46.8659,-1.39,100,100,2.62,RU,1644204551
372,kondinskoye,59.6481,67.41,8.62,92,100,10.33,RU,1644204612
373,nantucket,41.2835,-70.0995,33.91,69,0,11.5,US,1644204612
374,hanmer springs,-42.5167,172.8167,55.0,86,100,2.93,NZ,1644204612
375,san carlos de bariloche,-41.1456,-71.3082,65.25,47,0,8.05,AR,1644204535
376,bambous virieux,-20.3428,57.7575,79.21,81,100,10.87,MU,1644204596
377,huarmey,-10.0681,-78.1522,71.2,79,100,6.4,PE,1644204613
378,klaksvik,62.2266,-6.589,29.32,48,100,10.09,FO,1644204613
379,iquique,-20.2208,-70.1431,68.04,75,91,2.06,CL,1644204613
380,erenhot,43.6475,111.9767,12.74,65,2,6.6,CN,1644204614
381,ushtobe,45.2514,77.9838,32.13,99,100,14.36,KZ,1644204614
382,marang,5.2056,103.2059,82.31,86,100,7.16,MY,1644204614
383,kruisfontein,-34.0033,24.7314,68.23,68,0,5.61,ZA,1644204615
384,bathsheba,13.2167,-59.5167,77.61,83,75,12.66,BB,1644204615
385,juventino rosas,20.65,-101.0,66.76,39,78,4.14,MX,1644204615
386,cody,44.5263,-109.0565,30.4,63,6,8.7,US,1644204343
387,hovd,48.0056,91.6419,-6.72,68,9,2.3,MN,1644204616
388,senno,59.5336,33.9167,26.26,93,100,9.84,RU,1644204616
389,uthal,25.8072,66.6219,66.92,79,0,1.39,PK,1644204562
390,kodinsk,58.6881,99.1844,15.21,93,100,2.3,RU,1644204617
391,hanzhong,33.0728,107.0303,38.16,58,96,4.7,CN,1644204617
392,norman wells,65.282,-126.8329,-12.96,70,100,18.41,CA,1644204617
393,darhan,49.4867,105.9228,6.75,79,17,7.2,MN,1644204618
394,lufkin,31.3382,-94.7291,39.11,80,0,0.0,US,1644204618
395,torit,4.4133,32.5678,71.76,32,65,1.1,SS,1644204618
396,luanshya,-13.1367,28.4166,62.56,99,100,3.42,ZM,1644204619
397,acapulco,16.8634,-99.8901,80.42,74,0,8.05,MX,1644204619
398,nanortalik,60.1432,-45.2371,17.42,62,100,46.19,GL,1644204564
399,porto seguro,-16.4497,-39.0647,77.52,94,20,2.3,BR,1644204619
400,grand-santi,4.25,-54.3833,72.19,100,100,0.87,GF,1644204620
401,solginskiy,61.05,41.3428,9.28,94,100,6.93,RU,1644204620
402,prince rupert,54.3161,-130.3201,44.69,81,100,19.57,CA,1644204609
403,saint-pierre,-21.3393,55.4781,78.44,78,0,5.75,RE,1644204621
404,marsala,37.7966,12.4352,55.99,87,40,6.91,IT,1644204621
405,buraydah,26.326,43.975,43.25,48,0,5.41,SA,1644204621
406,meiktila,20.8667,95.8667,72.28,29,49,1.28,MM,1644204622
407,vardo,70.3705,31.1107,23.14,82,59,20.94,NO,1644204586
408,krasnoselkup,65.7,82.4667,-21.87,100,37,7.45,RU,1644204622
409,dunedin,-45.8742,170.5036,61.54,67,77,13.96,NZ,1644204622
410,muros,42.7762,-9.0603,50.23,92,25,9.42,ES,1644204623
411,santa marta,11.2408,-74.199,82.45,61,20,10.36,CO,1644204623
412,itarema,-2.9248,-39.9167,77.88,81,2,9.53,BR,1644204623
413,kahului,20.8947,-156.47,78.82,59,40,20.71,US,1644204516
414,aloleng,16.1307,119.7824,85.17,58,14,12.93,PH,1644204624
415,pacific grove,36.6177,-121.9166,60.57,75,0,4.0,US,1644204624
416,epitalion,37.6333,21.5,55.76,87,80,7.0,GR,1644204624
417,katangli,51.7102,143.2326,12.63,83,100,17.74,RU,1644204625
418,svetlogorsk,52.6333,29.7333,32.04,97,100,14.99,BY,1644204493
419,bunia,1.5667,30.25,60.62,43,66,3.06,CD,1644204685
420,balkanabat,39.5108,54.3671,38.12,57,72,5.48,TM,1644204671
421,shaunavon,49.6501,-108.4181,33.58,70,0,8.75,CA,1644204686
422,filadelfia,39.9523,-75.1638,32.14,74,100,1.99,US,1644204484
423,omboue,-1.5746,9.2618,76.89,88,80,5.48,GA,1644204686
424,elizabeth city,36.2946,-76.2511,41.05,84,100,10.36,US,1644204687
425,college,64.8569,-147.8028,-4.41,77,75,0.0,US,1644204687
426,priladozhskiy,59.85,31.4833,35.62,95,100,9.17,RU,1644204687
427,lubu,23.1742,112.2809,59.45,91,100,3.13,CN,1644204688
428,fairbanks,64.8378,-147.7164,-4.4,77,100,0.0,US,1644204659
429,mundo nuevo,18.7,-95.5,67.69,86,16,5.64,MX,1644204688
430,zarechnyy,53.2036,45.1923,17.31,38,100,2.75,RU,1644204688
431,maceio,-9.6658,-35.7353,74.64,88,20,4.61,BR,1644204689
432,quelimane,-17.8786,36.8883,76.95,94,75,8.05,MZ,1644204689
433,volkach,49.8667,10.2333,38.88,85,87,3.0,DE,1644204689
434,havoysund,70.9963,24.6622,23.88,77,46,14.38,NO,1644204690
435,vichy,46.25,3.5833,50.09,90,100,10.54,FR,1644204690
436,nyurba,63.2842,118.3319,-4.0,95,100,7.11,RU,1644204690
437,kemijarvi,66.7131,27.4306,20.14,92,100,8.77,FI,1644204691
438,veraval,20.9,70.3667,68.13,62,5,7.25,IN,1644204691
439,sioux lookout,50.1001,-91.917,1.78,77,0,3.44,CA,1644204691
440,nalut,30.3333,10.85,52.5,26,96,9.22,LY,1644204692
441,vao,-22.6667,167.4833,81.16,82,45,13.24,NC,1644204616
442,russell,32.3502,-85.1999,49.28,72,100,5.84,US,1644204653
443,larsnes,62.2028,5.5773,40.01,96,90,4.88,NO,1644204692
444,champerico,14.3,-91.9167,77.04,74,14,3.76,GT,1644204692
445,abrau-dyurso,44.69,37.59,35.06,72,100,15.59,RU,1644204693
446,colac,-38.3333,143.5833,82.62,27,0,4.79,AU,1644204693
447,lerwick,60.1545,-1.1494,39.2,57,67,27.65,GB,1644204693
448,almaznyy,48.0448,40.045,30.34,92,71,7.36,RU,1644204694
449,port moresby,-9.4431,147.1797,87.22,70,40,8.05,PG,1644204694
450,toktogul,41.8708,72.9402,27.82,89,97,0.92,KG,1644204551
451,ozinki,51.1786,49.6769,8.78,91,100,5.88,RU,1644204695
452,kanniyakumari,8.0833,77.5667,80.8,64,67,14.72,IN,1644204695
453,batagay-alyta,67.8006,130.4114,-20.34,94,100,2.42,RU,1644204695
454,camalu,30.85,-116.0667,57.07,40,0,3.0,MX,1644204696
455,farah,32.5,62.5,43.74,49,0,4.07,AF,1644204696
456,nowa sol,51.8033,15.717,37.92,88,100,17.25,PL,1644204697
457,lasem,-6.6922,111.4527,79.61,88,100,16.6,ID,1644204697
458,arica,-18.475,-70.3042,66.43,72,0,0.0,CL,1644204572
459,hvide sande,56.0045,8.1294,40.08,71,7,35.46,DK,1644204697
460,lieksa,63.3167,30.0167,28.22,97,100,9.17,FI,1644204698
461,mtambile,-5.3833,39.7,78.04,86,100,6.87,TZ,1644204698
462,shelburne,44.0787,-80.2041,27.05,72,100,14.2,CA,1644204698
463,benton harbor,42.1167,-86.4542,30.11,76,0,5.75,US,1644204542
464,pustoshka,56.3355,29.369,32.31,98,100,12.3,RU,1644204699
465,bani,18.2833,-70.3333,73.85,79,10,10.87,DO,1644204759
466,whitehorse,60.7161,-135.0538,33.03,74,75,12.66,CA,1644204635
467,belawan,3.7755,98.6832,82.69,83,100,6.26,ID,1644204759
468,shurugwi,-19.6702,30.0059,56.17,94,84,8.23,ZW,1644204760
469,rossland,49.0831,-117.8022,28.62,92,100,1.05,CA,1644204760
470,olafsvik,64.8945,-23.7142,32.09,95,100,42.99,IS,1644204761
471,masyaf,35.0653,36.3406,42.85,95,90,1.23,SY,1644204761
472,grindavik,63.8424,-22.4338,32.9,100,100,55.23,IS,1644204609
473,salamanca,40.8333,-6.0,32.0,62,42,6.78,ES,1644204761
474,yining,29.0361,114.5636,37.51,100,100,2.51,CN,1644204762
475,valdivia,-39.8142,-73.2459,59.09,74,0,2.53,CL,1644204734
476,burns lake,54.2331,-125.7533,38.62,98,100,5.95,CA,1644204605
477,turkistan,43.0,68.0,32.92,83,100,5.3,KZ,1644204762
478,tura,25.5198,90.2201,64.18,50,1,2.91,IN,1644204707
479,sao filipe,14.8961,-24.4956,72.48,75,1,5.97,CV,1644204518
480,limulunga,-15.0969,23.1376,66.04,97,100,5.68,ZM,1644204763
481,excelsior springs,39.3392,-94.2261,36.37,61,0,3.44,US,1644204763
482,giyani,-23.3025,30.7187,65.25,92,18,5.01,ZA,1644204763
483,nabire,-3.3667,135.4833,82.9,73,100,1.83,ID,1644204507
484,uyutne,45.1994,33.3014,42.82,80,51,20.11,UA,1644204764
485,luwingu,-10.2621,29.9271,61.54,97,100,6.38,ZM,1644204764
486,nueva concepcion,14.2,-91.3,76.46,81,37,4.99,GT,1644204764
487,gamba,-2.65,10.0,76.14,93,22,5.53,GA,1644204690
488,khandyga,62.6667,135.6,-19.88,87,91,1.01,RU,1644204765
489,westport,41.1415,-73.3579,31.86,76,100,4.0,US,1644204540
490,listvyanskiy,54.4399,83.4984,4.19,92,100,1.92,RU,1644204765
491,san giovanni rotondo,41.7049,15.7191,40.62,81,20,6.91,IT,1644204765
492,saint anthony,45.0205,-93.218,10.6,69,0,4.0,US,1644204766
493,rio gallegos,-51.6226,-69.2181,66.25,42,0,29.93,AR,1644204766
494,shamgarh,24.1833,75.6333,66.29,28,0,5.06,IN,1644204766
495,talakan,50.3167,130.3667,4.32,81,99,2.51,RU,1644204767
496,storforshei,66.4043,14.5233,20.23,86,97,1.03,NO,1644204767
497,padborg,54.8266,9.3625,38.73,94,29,20.71,DK,1644204768
498,jinchang,38.4953,102.1739,16.45,73,17,5.88,CN,1644204658
499,zaragoza,41.6561,-0.8773,47.44,60,0,10.0,ES,1644204768
500,severo-yeniseyskiy,60.3725,93.0408,1.94,98,95,2.8,RU,1644204748
501,konevo,62.1215,39.3192,9.12,95,93,7.96,RU,1644204769
502,kolpashevo,58.3131,82.9089,-1.44,100,100,3.8,RU,1644204769
503,yangjiang,21.85,111.9667,58.95,91,100,4.88,CN,1644204596
504,rocha,-34.4833,-54.3333,63.54,81,99,15.01,UY,1644204770
505,sakakah,29.9697,40.2064,40.57,61,0,4.41,SA,1644204770
506,pernik,42.6,23.0333,33.48,96,34,2.35,BG,1644204770
507,portland,45.5234,-122.6762,50.2,83,0,1.01,US,1644204167
508,wolfville,45.0835,-64.3655,8.4,85,63,0.0,CA,1644204712
509,champasak,14.75,106.0,85.08,40,100,2.59,LA,1644204771
510,ukiah,39.1502,-123.2078,58.64,56,0,0.0,US,1644204364
511,macenta,8.5435,-9.471,61.86,34,49,0.4,GN,1644204771
512,macaparana,-7.5547,-35.4531,75.2,81,2,2.68,BR,1644204832
513,tuatapere,-46.1333,167.6833,60.82,46,0,8.03,NZ,1644204655
514,zaysan,47.4667,84.8667,16.93,75,3,0.89,KZ,1644204832
515,alamor,-4.0181,-80.0197,60.42,97,100,3.94,EC,1644204832
516,jutai,-5.1833,-68.9,73.36,98,100,1.43,BR,1644204833
517,nakatunguru,-2.1167,33.0667,70.21,77,99,6.31,TZ,1644204833
518,guantanamo,20.1444,-75.2092,73.47,86,13,5.21,CU,1644204833
519,tuy hoa,13.0833,109.3,78.19,80,68,7.29,VN,1644204834
520,ramhormoz,31.28,49.6035,39.27,62,0,3.53,IR,1644204834
521,simbahan,6.3032,120.5836,81.86,72,97,5.79,PH,1644204834
522,emba,48.8264,58.1442,11.55,97,100,8.61,KZ,1644204835
523,virginia beach,36.8529,-75.978,40.01,79,100,1.99,US,1644204195
524,grand forks,47.9417,-97.4337,-5.87,80,75,3.44,US,1644204651
525,san policarpo,12.1791,125.5072,80.55,81,62,17.72,PH,1644204825
526,grenaa,56.4158,10.8783,36.84,92,11,1.99,DK,1644204835
527,biscarrosse,44.3945,-1.1672,52.32,100,100,11.5,FR,1644204836
528,cusuna,15.85,-85.2333,70.16,82,7,2.26,HN,1644204836
529,shache,38.4167,77.2406,29.37,50,100,1.77,CN,1644204836
530,joao camara,-5.5375,-35.8197,78.04,83,0,4.99,BR,1644204837
531,erdaojiang,41.7764,126.0319,18.5,68,8,3.69,CN,1644204837
532,alexandria,31.2156,29.9553,56.46,68,1,5.99,EG,1644204561
533,madawaska,47.3561,-68.3288,10.45,66,100,3.44,US,1644204720
534,wunsiedel,50.0333,12.0167,33.46,96,100,15.99,DE,1644204838
535,bandrele,-12.9067,45.1914,80.35,83,75,11.5,YT,1644204838
536,naples,40.8333,14.25,54.75,81,40,3.0,IT,1644204569
537,ust-nera,64.5667,143.2,-14.17,84,15,2.35,RU,1644204718
538,fremont,37.5483,-121.9886,59.45,66,0,1.01,US,1644204693
539,tessalit,20.1986,1.0114,59.02,17,0,6.2,ML,1644204664
540,ypsonas,34.6884,32.9574,52.29,81,0,3.44,CY,1644204839
541,tubuala,9.5167,-79.0333,77.32,74,8,11.79,PA,1644204839
542,nouadhibou,20.931,-17.0347,62.58,100,95,8.05,MR,1644204839
543,hobyo,5.3505,48.5268,76.66,69,97,18.88,SO,1644204840
544,yerbogachen,61.2767,108.0108,-6.09,95,99,2.98,RU,1644204840
545,palmer,42.1584,-72.3287,21.85,76,20,0.0,US,1644204840
546,teya,60.3778,92.6267,4.66,98,94,3.09,RU,1644204841
547,urubicha,-15.3833,-62.95,68.58,99,100,1.9,BO,1644204841
548,ludlow,42.1601,-72.4759,22.3,77,20,0.0,US,1644204668
549,redmond,47.674,-122.1215,46.85,83,40,1.99,US,1644204601
550,winnemucca,40.973,-117.7357,33.85,44,0,0.0,US,1644204841
551,praia,14.9215,-23.5087,68.54,83,0,10.36,CV,1644204842
552,huicungo,-7.2833,-76.8,70.77,99,100,1.63,PE,1644204842
553,kulhudhuffushi,6.6221,73.07,80.85,66,23,9.08,MV,1644204843
554,oussouye,12.485,-16.5469,75.38,76,2,5.57,SN,1644204843
555,walvis bay,-22.9575,14.5053,70.75,83,93,6.91,NA,1644204903
556,adre,13.4667,22.2,55.42,23,0,16.55,TD,1644204904
557,sungaipenuh,-2.0833,101.3833,75.58,61,100,5.23,ID,1644204904
558,vargem alta,-20.6714,-41.0069,65.68,95,12,4.52,BR,1644204904
559,ocos,14.5094,-92.1933,77.0,75,9,3.87,GT,1644204904
560,dongkan,33.9997,119.8308,38.5,62,100,3.6,CN,1644204905
561,abu kamal,34.4506,40.9171,48.69,62,85,3.04,SY,1644204905
562,aguimes,27.9054,-15.4461,61.43,72,20,18.41,ES,1644204906
563,stroud,51.75,-2.2,42.24,81,5,5.84,GB,1644204906
564,sindor,62.8629,51.8905,17.2,94,100,6.67,RU,1644204906
565,mogadishu,2.0371,45.3438,76.87,83,40,13.8,SO,1644204907
566,mvuma,-19.2792,30.5283,57.38,91,26,9.46,ZW,1644204907
567,khash,28.2211,61.2158,47.55,31,5,6.49,IR,1644204907
568,sonda,59.3436,26.8364,30.99,97,100,5.3,EE,1644204907
569,cambrils,41.0748,1.0524,51.73,73,0,5.01,ES,1644204908
570,tupik,54.4253,119.9327,4.75,77,70,2.59,RU,1644204908
571,watertown,42.3709,-71.1828,25.07,85,0,0.0,US,1644204908
572,olutanga,7.3106,122.8464,82.18,70,91,8.61,PH,1644204909
573,bognor regis,50.7821,-0.6798,42.15,88,5,15.55,GB,1644204909
574,umm lajj,25.0213,37.2685,64.69,35,0,15.66,SA,1644204909
575,puntarenas,9.9763,-84.8384,80.53,75,0,4.07,CR,1644204910
